tok	miss	routed	M	coldGate	totGate	margin	coldW
1164	19	320	1	-81.384766	-1375.3574	6.828125	2.3247807
1165	35	320	1	-148.45703	-1412.3643	9.59375	4.6644597
1166	97	320	1	-389.91406	-1320.2275	9.1328125	12.013574
1167	75	320	1	-290.6914	-1175.1953	6.359375	8.471812
1168	18	320	1	-78.14258	-1364.0957	7.5859375	2.0606093
1169	53	320	1	-221.03125	-1354.5898	7.734375	6.294575
1170	39	320	1	-161.90039	-1391.7832	8.3125	4.95518
1171	38	320	1	-154.12305	-1380.209	7.4765625	4.933629
1172	777	5440	17	0.0	0.0	10.0	0.0
1188	132	320	1	-475.41406	-1219.2148	3.875	17.384645
1189	109	320	1	-412.84082	-1275.9893	5.40625	14.479781
1190	57	320	1	-211.69238	-1287.2168	0.3125	7.599595
1191	22	320	1	-89.75586	-1324.7461	1.78125	2.8548572
1192	17	320	1	-68.49414	-1300.5957	4.765625	2.0272415
1193	20	320	1	-79.53125	-1322.0469	7.2578125	2.2562282
1194	9	320	1	-35.689453	-1283.9453	3.484375	0.9365153
1195	7	320	1	-29.441406	-1319.0527	6.5	0.7915976
1196	13	320	1	-55.16211	-1372.1367	7.9375	1.5682734
1197	427	5440	17	0.0	0.0	5.5625	0.0
1207	22	320	1	-88.88086	-1332.6309	8.1796875	2.526482
1208	232	4800	15	0.0	0.0	6.921875	0.0
1209	16	320	1	-66.02734	-1344.9844	1.796875	2.1104074
1210	25	320	1	-102.90039	-1326.7695	2.234375	3.1068952
1211	13	320	1	-52.16211	-1355.4121	7.03125	1.6215755
1212	14	320	1	-59.89453	-1365.8086	4.8125	1.8351941
1213	4	320	1	-16.308594	-1268.0	4.984375	0.47096622
1214	6	320	1	-24.8125	-1343.209	7.953125	0.72532403
1215	8	320	1	-33.566406	-1371.373	9.5390625	1.0007193
1216	15	320	1	-61.85547	-1310.1172	5.875	2.0395155
1217	2	320	1	-8.425781	-1305.9062	6.5625	0.19281258
1218	488	5440	17	0.0	0.0	1.09375	0.0
1220	20	320	1	-83.791016	-1374.334	9.515625	2.714431
1221	529	5440	17	0.0	0.0	6.140625	0.0
1222	482	5440	17	0.0	0.0	6.171875	0.0
1223	131	3200	10	0.0	0.0	9.03125	0.0
1228	27	320	1	-112.64844	-1346.4941	3.078125	3.3808112
1229	15	320	1	-59.626953	-1357.6953	4.46875	1.8890295
1230	529	5440	17	0.0	0.0	10.140625	0.0
1246	178	320	1	-618.3213	-1159.3369	2.828125	24.227638
1247	2232	5440	17	0.0	0.0	0.484375	0.0
1248	203	320	1	-730.0215	-1203.4043	0.390625	28.279829
1249	126	320	1	-459.00293	-1205.937	2.0	16.738962
1250	146	320	1	-516.2822	-1162.6123	6.34375	18.90166
1251	113	320	1	-435.3125	-1269.6914	1.40625	14.99898
1252	152	320	1	-546.2959	-1190.6318	2.28125	20.444645
1253	2189	5440	17	0.0	0.0	0.609375	0.0
1254	808	2240	7	0.0	0.0	3.140625	0.0
1261	683	2240	7	0.0	0.0	4.234375	0.0
1268	659	2240	7	0.0	0.0	6.3125	0.0
1275	630	2240	7	0.0	0.0	3.140625	0.0
1282	647	2240	7	0.0	0.0	4.3125	0.0
1289	1114	4160	13	0.0	0.0	5.25	0.0
1302	1542	8000	25	0.0	0.0	4.15625	0.0
1327	1392	8000	25	0.0	0.0	4.671875	0.0
1352	1187	8000	25	0.0	0.0	7.65625	0.0
1377	1373	8000	25	0.0	0.0	5.171875	0.0
1402	1506	8000	25	0.0	0.0	6.15625	0.0
1427	1535	8000	25	0.0	0.0	7.84375	0.0
1452	449	8000	25	0.0	0.0	7.375	0.0
1477	339	8000	25	0.0	0.0	6.765625	0.0
