tok	miss	routed	M	coldGate	totGate	margin
411	908	5440	17	0.0	0.0	6.6875
413	25	320	1	-90.68359	-1265.8535	8.1640625
414	45	320	1	-175.16895	-1269.2646	3.921875
415	20	320	1	-80.81641	-1284.4951	5.28125
416	33	320	1	-119.5957	-1316.5137	3.4375
417	40	320	1	-158.5664	-1285.0898	9.4453125
418	12	320	1	-47.777344	-1281.2695	8.875
419	43	320	1	-175.4961	-1293.499	7.765625
420	924	5440	17	0.0	0.0	0.234375
421	63	320	1	-240.16016	-1293.5039	1.921875
422	69	320	1	-259.12793	-1267.7451	2.953125
423	80	320	1	-303.29688	-1266.9043	6.359375
424	56	320	1	-221.17969	-1297.6768	6.28125
425	76	320	1	-278.45312	-1231.4072	1.1875
426	78	320	1	-292.4668	-1260.3047	0.09375
427	54	320	1	-206.52344	-1273.3164	2.9375
428	65	320	1	-246.63281	-1287.4688	8.828125
429	65	320	1	-249.16699	-1306.5518	0.078125
430	30	320	1	-119.52344	-1239.0078	8.921875
431	14	320	1	-56.94336	-1263.376	3.671875
432	26	320	1	-95.97461	-1215.3809	1.578125
433	21	320	1	-78.08789	-1253.5488	0.78125
434	31	320	1	-107.32715	-1217.418	0.546875
435	103	320	1	-374.1045	-1230.1904	2.296875
436	151	320	1	-550.0	-1216.0684	2.421875
437	152	320	1	-582.0928	-1245.5566	3.296875
438	117	320	1	-451.95117	-1267.5332	1.203125
439	156	320	1	-563.45605	-1179.9854	1.09375
440	154	320	1	-588.0039	-1235.2734	7.4921875
441	125	320	1	-432.63086	-1100.3633	1.109375
442	163	320	1	-578.4165	-1173.5547	3.453125
443	152	320	1	-577.04297	-1245.1699	5.96875
444	166	320	1	-633.46484	-1268.5156	0.03125
445	175	320	1	-638.1914	-1195.1536	1.71875
446	149	320	1	-570.376	-1254.8896	7.4609375
447	152	320	1	-566.03516	-1262.834	2.78125
448	169	320	1	-605.9988	-1192.7589	0.625
449	80	320	1	-292.40137	-1289.126	1.46875
450	55	320	1	-207.58398	-1288.3281	4.96875
451	63	320	1	-250.33594	-1287.9062	0.34375
452	123	320	1	-468.2461	-1274.834	1.0625
