tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
992	96	320	1	-335.63477	-1218.9121	1.921875	14.232598	1.1152978	198:22.53125,318:20.609375,11:20.359375,13:20.203125,60:19.234375,1411:18.0625,8:17.890625,25:17.515625
993	35	320	1	-134.1582	-1287.916	8.4921875	4.918813	0.0095542	256:22.28125,25212:13.7890625,220:12.7578125,17:11.84375,13:11.828125,248069:11.828125,16:11.65625,5690:11.6484375
994	36	320	1	-144.72656	-1344.0791	3.625	4.8167133	0.2622766	25212:22.0625,585:18.4375,492:16.421875,39964:16.34375,2796:15.2734375,220:15.109375,16168:15.09375,1496:15.078125
995	41	320	1	-162.84766	-1322.4414	0.25	5.6111245	0.7543103	283:22.109375,28:21.859375,2796:16.546875,220:16.46875,25:16.421875,369:15.3671875,198:14.15625,1411:13.9140625
996	541	5440	17	0.0	0.0	0.328125	0.0	0.7377169	2796:20.5625,220:20.234375,19:14.9921875,771:14.0859375,1496:13.25,264:13.0234375,1082:12.5234375,498:12.359375
999	70	320	1	-260.4541	-1277.292	3.84375	10.204377	0.21204521	60:21.328125,4678:17.484375,283:15.703125,28:14.8203125,19:14.53125,1089:14.3984375,8:14.3515625,11:13.546875
1000	64	320	1	-253.81836	-1343.0273	3.453125	8.812605	0.27149278	283:22.953125,318:19.5,1411:18.390625,198:17.6875,220:17.28125,574:15.734375,606:14.7578125,37456:14.5234375
1001	87	320	1	-340.1172	-1301.4111	6.6875	12.43554	0.03734254	220:23.21875,19:16.53125,2796:15.3125,318:15.2421875,907:14.7734375,198:14.7109375,498:14.484375,471:14.140625
1002	88	320	1	-351.0078	-1331.5039	5.71875	12.317342	0.06702832	19:24.796875,20:19.078125,17:19.0625,18:17.640625,16:17.390625,15:17.234375,24:16.890625,22:16.3125
1003	111	320	1	-424.50586	-1287.916	2.78125	15.675603	0.33832344	198:23.265625,318:20.484375,13:18.5625,1411:17.265625,220:16.71875,19:16.484375,11:16.40625,30:16.0
1004	41	320	1	-164.13672	-1304.4883	9.984375	5.5628543	0.0029374054	256:23.5625,585:13.578125,72:13.5234375,220:12.6484375,262:12.3984375,5690:11.9765625,257:11.59375,248069:11.546875
1005	35	320	1	-143.32031	-1348.9102	5.015625	4.6667943	0.086548574	585:23.109375,492:18.09375,2796:15.9140625,220:15.375,25212:15.1875,1496:15.1484375,3238:14.8125,353:14.6015625
1006	24	320	1	-94.0957	-1295.0508	2.9375	2.9998844	0.23436539	283:22.453125,10512:19.515625,28:16.953125,220:13.2421875,471:13.2109375,25:13.1015625,198:13.046875,11:12.9296875
1007	568	5440	17	0.0	0.0	3.328125	0.0	0.16588116	471:24.0625,220:20.734375,3238:17.484375,12:15.125,15:14.1484375,283:13.53125,1496:13.2734375,198:12.890625
1008	75	320	1	-284.95508	-1290.0723	4.3125	10.520655	0.10033729	16:24.5625,220:20.25,198:18.40625,471:17.21875,17:16.15625,19:15.71875,20:15.703125,15:15.40625
1009	45	320	1	-179.51562	-1293.6211	5.21875	5.5240865	0.09138385	198:23.984375,11:18.765625,318:18.109375,283:17.265625,13:16.34375,471:16.015625,478:15.5,1411:15.34375
1010	35	320	1	-144.01172	-1316.2041	8.7109375	4.555144	0.0065603717	256:23.359375,73:14.6484375,220:14.3125,492:14.2265625,262:13.234375,257:13.03125,5690:12.0078125,13:11.7578125
1011	29	320	1	-116.990234	-1352.1504	7.546875	4.170087	0.024934534	492:23.640625,364:16.09375,2020:15.734375,220:14.84375,604:14.765625,2796:14.4140625,6136:14.3359375,585:13.8984375
