tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
103	429	640	2	0.0	0.0	6.546875	0.0	0.084539466	2311:21.109375,1100:14.5625,13:14.0234375,66:13.8515625,82:13.671875,13653:12.703125,329:12.2421875,30:12.0625
105	242	640	2	0.0	0.0	5.578125	0.0	0.1552927	2311:20.734375,82:15.15625,13:14.5703125,1100:14.5,13653:14.265625,66:13.0625,80291:12.5,5435:12.4765625
107	413	640	2	0.0	0.0	5.6328125	0.0	0.15612699	2311:20.5625,13:14.9296875,1100:14.2265625,82:14.15625,66:13.8046875,13653:13.0,30:12.796875,271:12.640625
109	430	640	2	0.0	0.0	6.1015625	0.0	0.13417308	2311:20.609375,13:14.5078125,66:14.0234375,1100:13.296875,329:13.0546875,82:12.9453125,323:12.5546875,271:12.4765625
111	324	640	2	0.0	0.0	6.0859375	0.0	0.12770592	2311:20.625,66:14.5390625,13:14.265625,82:13.5078125,1100:13.34375,329:12.9609375,323:12.5546875,271:12.375
113	335	640	2	0.0	0.0	5.421875	0.0	0.20576257	2311:20.125,13:14.703125,82:14.40625,1100:13.5546875,13653:13.5,66:12.7578125,271:12.4765625,329:12.0234375
115	417	640	2	0.0	0.0	7.203125	0.0	0.053187348	2311:21.703125,66:14.5,13:14.140625,82:13.7265625,1100:13.6640625,329:13.2109375,271:12.875,323:12.7890625
117	320	640	2	0.0	0.0	6.8828125	0.0	0.061135862	2311:21.515625,13:14.6328125,1100:14.3203125,66:14.1953125,82:13.875,329:12.6171875,271:12.4921875,2747:12.375
119	354	640	2	0.0	0.0	4.765625	0.0	0.22095397	2311:20.25,13:15.484375,82:15.140625,13653:13.421875,1100:13.1484375,271:12.6796875,80291:12.2578125,66:12.21875
121	787	1280	4	0.0	0.0	6.3671875	0.0	0.059922576	2311:21.578125,13:15.2109375,1100:13.71875,66:13.6953125,82:13.5859375,271:12.6796875,7442:12.671875,329:12.53125
125	1438	2560	8	0.0	0.0	7.46875	0.0	0.038108516	2311:22.171875,13:14.703125,1100:14.625,82:14.4375,66:13.640625,271:12.890625,1076:12.6171875,323:12.4921875
133	3175	5120	16	0.0	0.0	5.75	0.0	0.09517971	2311:21.125,13:15.375,66:14.1640625,1100:14.15625,82:13.4921875,3317:12.96875,1093:12.6328125,271:12.6171875
149	2679	8000	25	0.0	0.0	4.828125	0.0	0.26824093	2311:20.25,13:15.421875,13653:15.1875,82:14.671875,1076:13.7734375,80291:12.9296875,1100:12.8671875,271:12.7578125
174	1460	8000	25	0.0	0.0	5.359375	0.0	0.075140126	2311:21.671875,13:16.3125,1076:14.4921875,82:14.1015625,1100:13.8515625,198:13.8203125,267:13.609375,271:12.6796875
199	1417	8000	25	0.0	0.0	6.703125	0.0	0.024457932	2311:23.046875,13:16.34375,82:15.3515625,198:14.0546875,1100:14.0390625,7442:13.4765625,267:13.390625,271:12.96875
224	1531	8000	25	0.0	0.0	7.171875	0.0	0.019392004	2311:23.109375,13:15.9375,82:14.7265625,198:14.296875,1100:14.015625,7442:13.5,267:13.1484375,271:13.0390625
249	1566	8000	25	0.0	0.0	8.0234375	0.0	0.010740517	2311:23.734375,13:15.7109375,82:15.34375,198:14.3203125,1100:13.6796875,7442:13.5078125,271:13.2109375,267:12.9453125
274	1800	8000	25	0.0	0.0	7.59375	0.0	0.0135227	2311:23.59375,13:16.0,82:15.3984375,198:14.65625,1100:13.8359375,271:13.46875,7442:13.21875,267:12.9296875
299	217	8000	25	0.0	0.0	8.8984375	0.0	0.005997568	2311:23.984375,13:15.0859375,82:14.8203125,198:13.953125,1100:13.0625,271:13.03125,7442:12.9453125,3317:12.59375
324	284	8000	25	0.0	0.0	8.828125	0.0	0.0061821747	2311:24.21875,13:15.390625,82:14.8203125,198:14.6484375,1100:13.90625,1076:13.890625,7442:13.390625,271:13.28125
349	141	8000	25	0.0	0.0	9.2265625	0.0	0.0036660729	2311:24.796875,13:15.5703125,82:14.453125,1076:14.390625,198:14.375,1100:13.546875,271:13.4296875,7442:13.1484375
374	259	8000	25	0.0	0.0	8.5390625	0.0	0.0077436995	2311:24.140625,13:15.6015625,82:15.0703125,198:14.8046875,1076:14.6953125,1100:13.6953125,271:13.671875,7442:13.203125
399	220	8000	25	0.0	0.0	8.5234375	0.0	0.00694985	2311:24.15625,13:15.6328125,198:14.6796875,1076:14.4921875,82:14.484375,271:13.6875,1100:13.5234375,7442:13.296875
424	265	8000	25	0.0	0.0	8.84375	0.0	0.005885001	2311:24.34375,13:15.5,1076:14.8203125,198:14.703125,82:14.5390625,271:13.8046875,1100:13.5546875,7442:13.40625
449	90	8000	25	0.0	0.0	9.0703125	0.0	0.0047505186	2311:24.671875,13:15.6015625,198:14.953125,82:14.90625,1076:14.5625,271:14.0234375,7442:13.4921875,1100:13.265625
474	123	8000	25	0.0	0.0	8.84375	0.0	0.005030024	2311:24.40625,13:15.5625,1076:15.03125,198:14.28125,82:13.78125,271:13.5625,7442:13.390625,1100:13.3828125
499	116	8000	25	0.0	0.0	8.9375	0.0	0.0042460337	2311:25.09375,13:16.15625,82:15.1796875,1076:15.140625,198:15.0859375,271:14.234375,1100:13.671875,7442:13.0546875
524	118	8000	25	0.0	0.0	8.7109375	0.0	0.004640677	2311:24.59375,13:15.8828125,82:15.390625,198:14.3203125,271:13.921875,1076:13.5078125,7442:12.84375,1100:12.828125
549	69	8000	25	0.0	0.0	9.359375	0.0	0.0027064623	2311:25.359375,13:16.0,198:15.0,82:14.796875,1076:14.7109375,271:13.984375,1100:13.0546875,7442:12.84375
574	157	8000	25	0.0	0.0	9.4453125	0.0	0.003560532	2311:24.796875,13:15.3515625,1076:14.7890625,198:14.5390625,82:14.453125,271:13.8515625,1100:13.1953125,7442:13.125
599	107	8000	25	0.0	0.0	9.375	0.0	0.0028396056	2311:25.375,13:16.0,1076:15.0234375,198:14.875,82:14.8671875,271:14.015625,1100:13.2734375,7442:13.1640625
624	111	8000	25	0.0	0.0	9.453125	0.0	0.003305749	2311:24.90625,13:15.453125,82:14.71875,1076:14.671875,198:14.5390625,271:13.8828125,7442:13.0234375,1100:12.984375
649	130	8000	25	0.0	0.0	9.40625	0.0	0.003417723	2311:24.8125,13:15.40625,1076:14.828125,198:14.3203125,82:14.203125,271:13.6875,7442:13.4765625,1100:13.4453125
674	119	8000	25	0.0	0.0	9.7109375	0.0	0.0024488843	2311:25.296875,13:15.5859375,1076:14.8828125,82:14.625,198:14.4921875,271:13.8515625,7442:13.375,1100:13.1796875
699	86	8000	25	0.0	0.0	9.5859375	0.0	0.0028842317	2311:25.28125,13:15.6953125,1076:15.484375,198:14.859375,82:14.1953125,271:13.9765625,7442:13.1875,1100:13.1640625
724	146	8000	25	0.0	0.0	9.6796875	0.0	0.002121292	2311:25.53125,13:15.8515625,82:14.90625,198:14.734375,1076:14.4609375,271:13.984375,7442:13.1015625,1100:13.078125
749	54	8000	25	0.0	0.0	9.921875	0.0	0.0023090066	2311:25.578125,13:15.65625,1076:15.296875,82:15.0546875,198:14.8125,271:13.8984375,1100:13.3046875,7442:13.0625
774	69	8000	25	0.0	0.0	10.5078125	0.0	0.0015262186	2311:25.484375,13:14.9765625,82:14.3671875,198:14.265625,1076:14.25,271:13.671875,1100:13.359375,7442:13.09375
799	65	8000	25	0.0	0.0	10.015625	0.0	0.0020358341	2311:25.46875,13:15.453125,1076:14.7890625,198:14.7734375,271:14.078125,82:13.953125,7442:13.2421875,499:13.1328125
824	125	8000	25	0.0	0.0	9.9609375	0.0	0.0019816312	2311:25.515625,13:15.5546875,82:14.6875,198:14.6484375,1076:14.640625,271:13.9765625,7442:13.25,1100:13.046875
849	101	8000	25	0.0	0.0	10.0546875	0.0	0.0021687606	2311:25.78125,13:15.7265625,1076:15.578125,198:15.234375,82:14.8125,271:14.296875,7442:13.2890625,1100:13.1796875
874	84	8000	25	0.0	0.0	10.0078125	0.0	0.0022433256	2311:25.484375,13:15.4765625,1076:15.03125,198:14.9609375,82:14.3828125,271:14.1015625,7442:13.5390625,1100:12.765625
899	80	8000	25	0.0	0.0	10.671875	0.0	0.0013950169	2311:25.734375,13:15.0625,198:14.78125,82:14.28125,1076:14.1171875,271:14.1015625,7442:13.1171875,1100:12.9921875
924	44	8000	25	0.0	0.0	9.7734375	0.0	0.0029621355	2311:25.0625,13:15.2890625,1076:15.0703125,198:14.7265625,82:14.625,271:13.8984375,7442:12.8125,1100:12.5078125
949	29	8000	25	0.0	0.0	10.546875	0.0	0.0015185677	2311:25.578125,13:15.03125,198:14.546875,271:14.1015625,1076:14.0859375,82:13.7734375,7442:13.6953125,1100:13.078125
974	59	8000	25	0.0	0.0	9.9609375	0.0	0.0027624778	2311:25.078125,13:15.1171875,198:14.8671875,1076:14.8203125,82:14.5703125,271:14.03125,7442:13.2578125,1100:12.5390625
999	55	8000	25	0.0	0.0	10.2578125	0.0	0.0020898487	2311:25.1875,13:14.9296875,198:14.5625,1076:14.265625,271:14.1015625,82:14.0078125,7442:13.4765625,1100:12.7421875
1024	77	8000	25	0.0	0.0	10.65625	0.0	0.0016485378	2311:25.578125,13:14.921875,198:14.8125,82:14.265625,1076:14.1953125,271:14.1015625,7442:13.6875,1100:12.9921875
1049	24	8000	25	0.0	0.0	9.828125	0.0	0.0031108602	2311:25.28125,1076:15.453125,13:15.40625,198:15.2265625,271:14.5078125,82:14.4921875,7442:13.3515625,9:12.9765625
1074	47	8000	25	0.0	0.0	10.5546875	0.0	0.001723744	2311:25.625,13:15.0703125,198:15.015625,1076:14.4453125,82:14.3203125,271:14.265625,7442:13.671875,1100:13.1171875
1099	115	8000	25	0.0	0.0	9.890625	0.0	0.0025552425	2311:25.171875,13:15.28125,198:14.90625,82:14.359375,271:14.3046875,1076:14.140625,7442:13.359375,1100:12.75
1124	129	8000	25	0.0	0.0	10.453125	0.0	0.0015659757	2311:25.625,13:15.171875,198:14.7265625,271:14.28125,1076:14.1640625,82:14.0625,7442:13.4375,1100:13.1796875
1149	73	8000	25	0.0	0.0	9.4609375	0.0	0.004740897	2311:24.84375,13:15.3828125,1076:15.3515625,198:15.0234375,82:14.8671875,271:14.359375,332:13.4296875,9:13.0390625
1174	76	8000	25	0.0	0.0	9.5390625	0.0	0.0026303309	2311:25.203125,13:15.6640625,82:15.0546875,198:14.84375,271:14.3046875,1076:14.0625,7442:12.46875,1100:12.234375
1199	65	8000	25	0.0	0.0	10.2890625	0.0	0.0018408961	2311:25.734375,13:15.4453125,198:15.03125,82:15.015625,271:14.375,1076:14.2109375,66:13.28125,7442:13.21875
1224	77	8000	25	0.0	0.0	9.8984375	0.0	0.0032177016	2311:24.75,13:14.8515625,198:14.625,82:14.4375,271:14.4296875,1076:14.109375,7442:12.421875,9:12.4140625
1249	51	8000	25	0.0	0.0	9.375	0.0	0.0032580502	2311:25.0,82:15.625,13:15.03125,1076:14.609375,198:14.421875,271:13.9921875,7442:12.8203125,66:12.6484375
1274	55	8000	25	0.0	0.0	10.4765625	0.0	0.0016057384	2311:26.046875,82:15.5703125,13:15.1171875,198:14.890625,1076:14.8359375,66:14.5390625,271:14.5078125,7442:13.3125
1299	57	8000	25	0.0	0.0	10.9375	0.0	0.0013670498	2311:26.078125,13:15.140625,198:15.125,1076:14.890625,271:14.5390625,82:14.453125,7442:13.5859375,1100:13.2890625
1324	7	8000	25	0.0	0.0	10.7578125	0.0	0.0014294968	2311:26.0625,13:15.3046875,198:15.2109375,82:14.7109375,1076:14.59375,271:14.5546875,7442:13.9765625,1100:13.4765625
1349	52	8000	25	0.0	0.0	10.7421875	0.0	0.0014229744	2311:25.921875,13:15.1796875,198:15.0234375,82:14.5390625,1076:14.453125,271:14.421875,7442:13.6796875,1100:13.3828125
1374	25	8000	25	0.0	0.0	10.9375	0.0	0.0011698401	2311:25.625,82:14.6875,198:14.359375,271:14.1953125,13:14.1171875,1924:13.6796875,4729:12.6328125,1076:12.4375
1399	27	8000	25	0.0	0.0	10.6875	0.0	0.0015752823	2311:25.8125,13:15.125,198:14.9375,82:14.671875,1076:14.5,271:14.421875,7442:13.40625,499:13.140625
1424	47	8000	25	0.0	0.0	13.4453125	0.0	0.00017333428	2311:27.515625,1100:14.0703125,198:13.3359375,271:13.296875,4729:13.171875,13:13.0859375,7442:13.03125,4682:12.9921875
1449	33	8000	25	0.0	0.0	10.5859375	0.0	0.0017116993	2311:25.578125,13:14.9921875,198:14.921875,271:14.5,1076:14.171875,82:14.078125,7442:13.4765625,1100:13.0859375
1474	14	8000	25	0.0	0.0	10.0546875	0.0	0.0021769933	2311:25.5625,13:15.5078125,1076:15.28125,198:15.0234375,271:14.4765625,82:13.53125,7442:13.4921875,1100:13.2578125
1499	37	8000	25	0.0	0.0	10.6796875	0.0	0.0016153079	2311:25.890625,13:15.2109375,198:15.1171875,1076:14.921875,82:14.7578125,271:14.5390625,7442:13.609375,1100:13.0859375
